"";"Company";"Date.Made.Public";"Total.Records";"Type.of.breach";"Type.of.organization";"Gather.Information.Source";"year"
"4227";"humana";2014-05-23;2962;"PORT";"MED";"Nonprofit organization";2014
"4238";"emory dialysis center part of emory clinic";2014-03-11;826;"PORT";"MED";"Media";2014
"4239";"cornerstone health care";2014-03-11;548;"PORT";"MED";"Media";2014
"4242";"ucsf family medicine center at lakeshore";2014-03-12;9986;"STAT";"MED";"US GA: State";2014
"4245";"university of kentucky healthcare talyst";2014-03-25;1079;"PORT";"MED";"US GA: State";2014
"4246";"orlando health s arnold palmer medical center";2014-03-27;586;"PORT";"MED";"Media";2014
"4247";"palomar health";2014-03-28;5000;"PORT";"MED";"Media";2014
"4256";"lowes corporation";2014-05-22;35000;"DISC";"BSR";"Media";2014
"4258";"paytime";2014-05-14;233000;"HACK";"BSF";"Media";2014
"4259";"redwood regional medical group";2014-06-12;33702;"PHYS";"MED";"Nonprofit organization";2014
"4261";"boulder community health";2014-05-08;16;"PHYS";"MED";"Media";2014
"4262";"seton northwest hospital";2014-04-28;180;"INSD";"MED";"Nonprofit organization";2014
"4264";"st francis hospital";2014-06-10;1175;"DISC";"MED";"Media";2014
"4266";"penn state milton s hershey medical center";2014-06-06;1801;"INSD";"MED";"Media";2014
"4267";"access health ct";2014-06-10;413;"INSD";"BSF";"Media";2014
"4269";"service alternatives";2014-06-17;550;"HACK";"BSO";"US GA: State";2014
"4270";"rady s childrens hospital";2014-06-19;14100;"DISC";"MED";"Media";2014
"4271";"college of the desert";2014-06-09;1900;"INSD";"EDU";"US GA: State";2014
"4272";"riverside community college";2014-06-16;35212;"DISC";"EDU";NA;2014
"4273";"highmark";2014-06-05;3675;"DISC";"BSF";"Media";2014
"4274";"arkansas state university college of education and behavioral science s department of childhood services";2014-05-30;50000;"HACK";"EDU";"Media";2014
"4275";"the home depot";2014-02-06;30000;"INSD";"BSR";"Media";2014
"4276";"stanford federal credit union";2014-06-11;18000;"DISC";"BSF";"US GA: State";2014
"4277";"placemark investments";2014-05-23;11;"HACK";"BSF";"US GA: State";2014
"4278";"hanover foods corporation";2014-05-21;5867;"DISC";"BSO";"US GA: State";2014
"4283";"butler university";2014-06-30;163000;"HACK";"EDU";"Media";2014
"4289";"multi state billing services";2014-07-02;3000;"PORT";"BSF";"Nonprofit organization";2014
"4290";"milford schools";2014-07-02;25;"PORT";"EDU";"Nonprofit organization";2014
"4292";"columbia university medical center";2010-09-27;6800;"DISC";"MED";"Nonprofit organization";2010
"4294";"st vincent breast center";2014-07-04;63000;"DISC";"MED";"Media";2014
"4297";"splash car wash";2014-06-26;120000;"HACK";"BSR";"Media";2014
"4301";"blue shield of california department of managed healthcare";2014-07-03;18000;"DISC";"BSF";"US GA: State";2014
"4303";"central city concern";2014-07-16;15;"DISC";"NGO";"Nonprofit organization";2014
"4304";"total bank";2014-07-17;72500;"HACK";"BSF";"Media";2014
"4305";"orangeburg calhoun technical college";2014-07-14;20000;"PORT";"EDU";"Media";2014
"4307";"silk road u s marshall service";2014-06-23;40;"HACK";"BSF";"Media";2014
"4308";"university development and alumni relations at the penn state college of medicine";2014-07-10;1176;"HACK";"EDU";"Media";2014
"4312";"bay area pain medical associates";2014-07-16;2780;"STAT";"MED";"US GA: State";2014
"4313";"dominion resources inc";2014-07-21;1700;"HACK";"BSO";"Media";2014
"4314";"penn medicine rittenhouse";2014-07-18;661;"PHYS";"MED";"Media";2014
"4315";"apple valley christian care center";2014-07-16;500;"DISC";"MED";"Nonprofit organization";2014
"4319";"michaels stores inc";2014-01-25;2600000;"HACK";"BSR";"Media";2014
"4320";"sutter physicians services sps and sutter medical foundation smf";2011-11-16;4240000;"STAT";"MED";"Nonprofit organization";2011
"4323";"sony playstation network psn sony online entertainment soe";2011-04-27;101600000;"HACK";"BSR";"Media";2011
"4325";"cvs caremark";2014-07-30;350;"DISC";"BSR";"Media";2014
"4326";"rite aid pharmacy";2014-07-30;521;"PHYS";"BSR";"Media";2014
"4329";"los angeles county department of health sutherland healthcare solutions";2014-03-06;168000;"STAT";"MED";"US GA: State";2014
"4331";"san antonio metropolitan health district";2014-06-30;300;"PORT";"MED";"Media";2014
"4332";"promedica bay park hospital";2014-05-28;500;"INSD";"MED";"Media";2014
"4333";"alabama department of public health";2014-05-22;7000;"INSD";"GOV";"Media";2014
"4334";"safety first";2014-05-19;35000;"DISC";"BSO";"Media";2014
"4339";"maryland department of health and mental hygiene";2014-03-17;14000;"HACK";"GOV";"Nonprofit organization";2014
"4344";"russian hacking discovered by hold security";2014-08-05;1e+09;"HACK";"BSO";"Media";2014
"4350";"comcast phone";2013-10-03;74000;NA;"BSO";"US GA: State";2013
"4354";"bioreference laboratories inc careevolve inc";2014-08-25;3334;"DISC";"MED";"Nonprofit organization";2014
"4355";"milpitas knights pal youth football";2014-08-26;80;"PHYS";"BSO";"Media";2014
"4356";"the hand care center shoulder and elbow institute";2014-08-26;10000;"PHYS";"MED";"Nonprofit organization";2014
"4358";"orthopaedic specialty institute medical group";2014-08-12;49000;"PHYS";"MED";"Media";2014
"4359";"university of miami health system";2014-02-10;13000;"PHYS";"MED";"Media";2014
"4360";"community health systems";2014-08-18;4500000;"HACK";"MED";"Media";2014
"4365";"memorial hermann hospital";2014-08-29;10604;"INSD";"MED";"Media";2014
"4366";"altamed health services";2014-08-29;2995;"INSD";"MED";"US GA: State";2014
"4367";"beachwood lakewood plastic surgery";2014-08-29;6141;"PORT";"MED";"Nonprofit organization";2014
"4370";"bartell hotels";2014-09-10;55000;"HACK";"BSO";"Media";2014
"4371";"goodwill industries international inc";2014-07-14;868000;"HACK";"BSR";"Nonprofit organization";2014
"4376";"zappos com";2012-01-15;2,4e+07;"HACK";"BSR";"Nonprofit organization";2012
"4378";"cedars sinai medical center los angeles";2014-08-22;33136;"PORT";"MED";"Media";2014
"4388";"at t";2014-10-06;1600;"INSD";"BSR";"Media";2014
"4390";"provo city school district";2014-10-01;1400;"HACK";"EDU";"Media";2014
"4391";"fort hays state university";2014-10-01;138;"DISC";"EDU";"Media";2014
"4396";"snapsaved com";2014-10-13;2e+05;"HACK";"BSO";"Media";2014
"4398";"salina family healthcare center";2014-06-26;500;"DISC";"MED";"Nonprofit organization";2014
"4405";"oregon employment department worksource oregon";2014-10-10;850000;"HACK";"GOV";"Media";2014
"4407";"us postal service";2014-11-10;8e+05;"HACK";"GOV";"Media";2014
"4411";"mount sinai beth israel";2014-10-03;10790;"PORT";"MED";"Media";2014
"4412";"jessie trice community health center";2014-11-07;8000;"HACK";"MED";"Media";2014
"4413";"onsite health diagnostics";2014-11-12;60582;"HACK";"MED";"Media";2014
"4414";"seattle public schools";2014-11-14;8000;"DISC";"EDU";"Media";2014
"4415";"us investigations services usis";2014-08-22;25000;"HACK";"GOV";"Media";2014
"4418";"cone health";2014-11-14;2076;"DISC";"MED";"Media";2014
"4419";"south texas veterans health care system";2014-10-09;4000;"DISC";"MED";"Media";2014
"4422";"albertina kerr centers";2014-10-09;1300;"PORT";"MED";"Nonprofit organization";2014
"4423";"georgia department of behavioral health and developmental disabilities dbhdd";2014-10-10;3397;"PORT";"GOV";"Nonprofit organization";2014
"4424";"department of human services office of behavioral health denver";2014-10-10;15000;"DISC";"GOV";"Media";2014
"4426";"texas health and human services";2014-11-25;2e+06;"DISC";"GOV";"Media";2014
"4427";"university hospitals";2014-11-28;692;"INSD";"MED";"Media";2014
"4437";"td bank";2012-10-08;260000;"PORT";"BSF";"US GA: State";2012
"4438";"highlands cashier hospital";2014-12-01;25000;"DISC";"MED";"Nonprofit organization";2014
"4439";"midwest womens healthcare specialists";2014-05-27;1500;"PHYS";"MED";"Media";2014
"4440";"nrad medical associates";2014-06-21;96998;"INSD";"MED";"Media";2014
"4441";"good samaritan hospital";2013-11-08;3833;"PORT";"MED";"Nonprofit organization";2013
"4442";"wellcare health plans";2014-12-06;47;"DISC";"MED";"Nonprofit organization";2014
"4449";"staples inc";2014-10-20;1200000;"HACK";"BSR";"Media";2014
"4450";"j p morgan chase";2014-08-28;7,6e+07;"HACK";"BSF";"Media";2014
"4460";"mount pleasant school district";2015-01-21;915;"HACK";"EDU";"Media";2015
"4465";"california pacific medical center sutter health";2015-01-23;844;"INSD";"MED";"US GA: State";2015
"4466";"anthem";2015-02-05;8e+07;"HACK";"BSF";"Media";2015
"4467";"the office of jeb bush";2015-02-18;12000;"DISC";"BSO";"Media";2015
"4474";"uber technologies inc";2015-02-27;50000;"HACK";"BSO";"Media";2015
"4475";"advantage dental";2015-03-16;151626;"HACK";"MED";"Media";2015
"4482";"lone star circle of care";2015-02-23;8700;"DISC";"BSO";"Media";2015
"4483";"university of maine";2015-02-18;941;"PORT";"EDU";"Media";2015
"4486";"microsoft xbox one";2015-04-03;11266;"HACK";"BSO";"Media";2015
"4487";"horizon healthcare services inc horizon blue cross blue shield";2013-12-06;840000;"PORT";"BSF";"US GA: State";2013
"4493";"at t";2015-04-08;280000;"INSD";"BSO";"Media";2015
"4498";"harbortouch";2015-05-01;4200;"HACK";"BSO";"Nonprofit organization";2015
"4499";"penn state college of engineering";2015-05-15;18000;"HACK";"EDU";"Media";2015
"4502";"tulare county health and human services";2015-04-06;845;"DISC";"GOV";"US GA: State";2015
"4504";"carefirst bluecross blueshield";2015-05-20;1100000;"HACK";"BSF";NA;2015
"4513";"premera blue cross";2015-03-17;1,1e+07;"HACK";"BSF";"Media";2015
"4517";"keypoint government solutions";2014-12-18;48439;"HACK";"BSO";"Media";2014
"4518";"summit financial group";2015-01-01;662;"DISC";"BSF";"US GA: State";2015
"4519";"summit financial group";2015-06-22;662;"DISC";"BSF";"US GA: State";2015
"4541";"court ventures";2013-10-21;3100000;"INSD";"BSO";"Media";2013
"4542";"neiman marcus";2014-01-10;1100000;"HACK";"BSR";"Media";2014
"4543";"adult friend finder owned by penthouse media";2015-05-22;3500000;"HACK";"BSO";"Media";2015
"4544";"st elizabeth s medical center";2012-02-09;6831;"PHYS";"MED";"Nonprofit organization";2012
"4545";"cvs pharmacy imperial beach";2015-07-18;100;"INSD";"BSR";"Media";2015
"4550";"veterans affairs hospital south dakota";2015-08-03;1100;"PHYS";"MED";"Media";2015
"4552";"medical informatics engineering";2015-06-26;390000;"HACK";"MED";"US GA: State";2015
"4559";"morgan stanley";2015-01-05;350000;"INSD";"BSF";"Media";2015
"4561";"ashley madison owned by canadian avid life media";2015-07-19;3,7e+07;"HACK";"BSO";"Nonprofit organization";2015
"4562";"web com";2015-08-19;93000;"HACK";"BSO";"Media";2015
"4571";"ucla health system";2015-09-01;1200;"PORT";"MED";"Media";2015
"4572";"state of minnesota";2015-08-31;18;"DISC";"GOV";"Media";2015
"4575";"the urban institute";2015-02-24;7e+05;"HACK";"BSO";"Media";2015
"4576";"sony pictures";2014-11-24;47000;"HACK";"BSO";"Media";2014
"4581";"kardashian website";2015-09-17;663200;"HACK";"BSO";"Media";2015
"4582";"lsu health new orleans school of medicine";2015-09-15;5000;"PORT";"EDU";"Media";2015
"4583";"ucla health system";2015-07-17;4500000;"HACK";"MED";"Media";2015
"4584";"excellus blue cross blue shield";2015-09-10;1e+07;"HACK";"BSF";"Media";2015
"4586";"office of personnel management opm";2015-06-04;21500000;"HACK";"GOV";"Media";2015
"4590";"barrington orthopedic specialists";2015-09-29;1009;"PORT";"MED";"Nonprofit organization";2015
"4593";"horizon blue cross blue shield";2015-09-25;1100;"DISC";"GOV";"Media";2015
"4595";"systema software";2015-09-21;1500000;"HACK";"BSO";"Media";2015
"4599";"experian";2015-10-01;1,5e+07;"HACK";"BSF";"Media";2015
"4601";"sentara heart hospital";2015-10-02;1040;"PORT";"MED";NA;2015
"4602";"american bankers association";2015-10-01;6400;"HACK";"BSF";"Media";2015
"4607";"e trade";2015-10-09;31000;"HACK";"BSF";"Media";2015
"4608";"care plus health plans";2015-10-09;1400;"DISC";"BSF";"Media";2015
"4611";"dow jones company";2015-10-12;3500;"HACK";"BSF";"Media";2015
"4613";"scottrade";2015-10-01;4600000;"HACK";"BSF";"US GA: State";2015
"4614";"humana";2015-10-09;2800;"PORT";"BSF";"Media";2015
"4617";"coca cola company";2014-01-24;18000;"PORT";"BSO";"US GA: State";2014
"4618";"streets of new york";2015-10-13;200;"HACK";"BSO";"Media";2015
"4619";"university of oklahoma s urology clinic";2015-10-14;7693;"PORT";"MED";"Nonprofit organization";2015
"4622";"community catalysts of california";2015-10-16;1182;"PORT";"NGO";"US GA: State";2015
"4623";"department of health and human services";2015-10-16;1615;"DISC";"MED";"Media";2015
"4624";"service systems associates inc";2015-10-13;60000;"HACK";"BSO";"US GA: State";2015
"4628";"emergence health network";2015-10-26;11100;"DISC";"MED";"Nonprofit organization";2015
"4629";"sentara heart hospital";2015-10-03;1040;"INSD";"MED";"Media";2015
"4631";"american bankers association";2015-10-30;6400;"HACK";"BSO";"US GA: State";2015
"4634";"comcast";2015-11-09;590000;"HACK";"BSO";"Media";2015
"4641";"secretary of state brian kemp";2015-11-18;6e+06;"DISC";"GOV";"Media";2015
"4647";"pathways professional counseling";2015-11-30;3397;"PORT";"MED";"Nonprofit organization";2015
"4651";"yellowfront grocery";2015-11-23;3000;"HACK";"BSR";"Media";2015
"4653";"target corp";2013-12-13;4e+07;"HACK";"BSR";"Media";2013
"4654";"vtech";2015-11-30;5100000;"HACK";"BSO";"Media";2015
"4655";"dover school district";2015-12-03;160;"PHYS";"EDU";"Media";2015
"4656";"blue cross blue shield of nebraska";2015-12-04;1872;"DISC";"BSF";"Media";2015
"4657";"cottage health";2015-12-01;11000;"DISC";"MED";"US GA: State";2015
"4660";"wyndham hotels resorts";2010-02-28;5e+05;"HACK";"BSO";"Media";2010
"4661";"middlesex hospital";2015-12-08;946;"HACK";"MED";"Media";2015
"4662";"northwest primary care";2015-12-11;5372;"INSD";"MED";"Nonprofit organization";2015
"4663";"word press";2015-12-10;30000;"HACK";"BSO";"Media";2015
"4675";"healthsouth rehabilitation hospital";2015-12-22;1359;"PORT";"MED";"US GA: State";2015
"4679";"fox river counseling center";2015-12-21;509;"PORT";"MED";"Media";2015
"4684";"regional income tax agency";2016-01-04;50000;"PORT";"GOV";"Media";2016
"4686";"quincy credit union";2015-12-27;670;"HACK";"BSF";"Media";2015
"4687";"oregon department of veterans affair";2015-12-28;967;"DISC";"GOV";"Media";2015
"4689";"mdlnr llc";2015-01-05;1859;"HACK";"MED";"US GA: State";2015
"4690";"time warner cable";2016-01-08;320000;"HACK";"BSO";"Media";2016
"4691";"uber";2015-10-13;674;"DISC";"BSO";"Media";2015
"4693";"saint louis county department of health";2015-01-07;4000;"HACK";"MED";"US GA: State";2015
"4694";"aspire indiana inc";2016-01-07;43890;"PORT";"MED";"US GA: State";2016
"4695";"va corporate data center operations austin information technology center";2015-01-07;7029;"HACK";"MED";"US GA: State";2015
"4696";"tennessee rural health improvement association";2015-01-12;1030;"PHYS";"MED";"US GA: State";2015
"4697";"national pain institute";2015-01-15;500;"PHYS";"MED";"US GA: State";2015
"4698";"rainier surgical incorporated";2015-01-16;4920;"PHYS";"MED";"US GA: State";2015
"4699";"st peter s health parnters";2015-01-23;5117;"PORT";"MED";"US GA: State";2015
"4700";"ronald d garrett roe md";2015-01-23;1600;"HACK";"MED";"US GA: State";2015
"4701";"california pacific medical center";2015-01-23;858;"INSD";"MED";"US GA: State";2015
"4702";"diana s guth dba home respiratory care";2015-01-23;1285;"DISC";"MED";"US GA: State";2015
"4703";"david e hansen dds ps";2015-01-29;2000;"PORT";"MED";"US GA: State";2015
"4704";"kaiser foundation health plan of the mid atlantic states inc";2015-01-29;630;"DISC";"MED";"US GA: State";2015
"4705";"riverside county regional medical center";2015-01-29;7925;"PORT";"MED";"US GA: State";2015
"4706";"north dallas urogynecology";2015-01-29;678;"PORT";"MED";"US GA: State";2015
"4707";"umass memorial medical center ummmc";2014-05-05;14100;"INSD";"MED";"Media";2014
"4708";"southern new hampshire university";2016-01-05;140000;"DISC";"EDU";"Media";2016
"4709";"earbits com";2016-01-19;325000;"DISC";"BSO";"Media";2016
"4713";"university of virginia";2016-01-25;1440;"HACK";"EDU";"Media";2016
"4714";"unconfirmed";2015-12-28;1,91e+08;"DISC";"BSO";NA;2015
"4717";"gas and shop";2016-01-16;20;"HACK";"BSO";"Media";2016
"4718";"university of northern iowa";2016-01-18;100;NA;"EDU";"Media";2016
"4724";"hawaii medical service association hmsa";2016-02-02;10800;"DISC";"MED";"Nonprofit organization";2016
"4725";"tax slayer";2016-02-01;8800;"HACK";"BSF";"Media";2016
"4726";"tax act";2016-01-13;450;"HACK";"BSF";"Media";2016
"4727";"neiman marcus";2016-02-01;5200;"HACK";"BSO";"Media";2016
"4728";"university of central florida";2016-02-04;63000;"HACK";"EDU";"US GA: State";2016
"4729";"livongo health inc";2016-01-25;1950;"PHYS";"MED";"US GA: State";2016
"4730";"g s medical associates llc";2016-01-14;3000;"HACK";"MED";"US GA: State";2016
"4731";"blue shield of california";2016-01-14;20764;"HACK";"MED";"US GA: State";2016
"4732";"new west health services dba new west medicare";2016-01-15;28209;"PORT";"MED";"US GA: State";2016
"4733";"elite imaging";2016-01-04;1457;"PHYS";"MED";"US GA: State";2016
"4734";"grx holdings llc dba medicap pharmacy";2016-02-02;2300;"PHYS";"MED";"US GA: State";2016
"4735";"washington state health authority hca";2016-02-09;91000;"INSD";"GOV";"Media";2016
"4736";"internal revenue service";2016-02-10;101000;"HACK";"GOV";"Media";2016
"4746";"bailey s inc";2016-02-26;15000;"HACK";"BSO";"US GA: State";2016
"4747";"internal revenue service";2015-05-26;7e+05;NA;"GOV";"Nonprofit organization";2015
"4749";"seagate";2016-03-06;10000;"HACK";"BSO";"Nonprofit organization";2016
"4751";"snapchat";2016-03-04;700;"HACK";"BSO";"US GA: State";2016
"4753";"the home depot";2014-09-02;5,6e+07;"HACK";"BSR";"Media";2014
"4754";"feinstein institute for medical research";2012-09-14;13000;"PORT";"NGO";"Nonprofit organization";2012
"4758";"21st century oncology";2016-03-04;2200000;"HACK";"MED";"US GA: State";2016
"4776";"boston baskin cancer foundation";2015-02-02;56694;"PORT";"MED";"US GA: State";2015
"4777";"south sunflower county hospital";2015-02-04;19000;"DISC";"MED";"US GA: State";2015
"4778";"planned parenthood southwest ohio";2015-02-05;5000;"DISC";"MED";"US GA: State";2015
"4779";"fdic";2016-04-11;44000;"DISC";"GOV";"Media";2016
"4784";"academy of art university";2016-04-26;3000;"HACK";"EDU";"Media";2016
"4790";"senior health partners";2016-02-06;2772;"PORT";"MED";"US GA: State";2016
"4791";"dr arturo tomas";2015-02-09;680;"PHYS";"MED";"US GA: State";2015
"4794";"beautifulpeople com";2016-04-26;1100000;"HACK";"BSO";"Media";2016
"4795";"haywood county nc";2015-02-09;955;"STAT";"MED";"US GA: State";2015
"4796";"pathway to hope";2016-02-12;600;"DISC";"MED";"US GA: State";2016
"4797";"hunt regional medical partners";2016-04-18;3000;"DISC";"MED";"US GA: State";2016
"4802";"saint agnes medical center";2016-05-05;2812;"HACK";"MED";"US GA: State";2016
"4805";"poway unified school district";2016-05-16;70000;"DISC";"EDU";"Media";2016
"4809";"lewis palmer school district 38";2016-05-24;2000;"DISC";"EDU";"Media";2016
"4810";"myspace";2016-05-31;3,6e+08;"HACK";"BSO";"Media";2016
"4811";"equifax inc";2016-05-06;431000;"HACK";"BSO";"Nonprofit organization";2016
"4818";"marketing clique";2015-02-20;8700;"DISC";"MED";NA;2015
"4825";"twitter";2016-06-13;3,2e+07;"HACK";"BSO";"Media";2016
"4826";"raymond mark turner m d";2015-02-26;2153;"PORT";"MED";"US GA: State";2015
"4827";"st vincent hospital and health care center inc";2015-02-27;63325;"DISC";"MED";"US GA: State";2015
"4828";"cathrine steinborn dds";2015-02-27;3224;"PORT";"MED";"US GA: State";2015
"4829";"aventura hospital and medical center";2015-02-27;686;"HACK";"MED";"US GA: State";2015
"4830";"amedisys";2015-03-01;6909;"HACK";"MED";"US GA: State";2015
"4831";"advance rehabilitation consulting ltd";2015-03-02;570;"HACK";"MED";"US GA: State";2015
"4832";"georgia department of community health";2015-03-02;557779;"HACK";"MED";"US GA: State";2015
"4833";"st mary s health";2015-03-05;3952;"HACK";"MED";"US GA: State";2015
"4834";"sharon j jones m d";2015-03-05;1342;"PHYS";"MED";"US GA: State";2015
"4835";"valley community healthcare";2015-03-06;1233;"PORT";"MED";"US GA: State";2015
"4836";"mosaic medical";2015-03-05;2207;"PHYS";"MED";"US GA: State";2015
"4837";"clinical reference laboratory";2015-03-03;4668;"DISC";"MED";"US GA: State";2015
"4838";"indiana state medical association";2015-03-06;38351;"PORT";"MED";"US GA: State";2015
"4839";"san francisco general hospital and trauma center";2015-03-06;2500;"PHYS";"MED";"US GA: State";2015
"4840";"dr anthony t r green dds";2015-03-11;7448;"DISC";"MED";"US GA: State";2015
"4841";"virginia department of medical assistance services";2015-03-12;697586;"HACK";"MED";"US GA: State";2015
"4842";"eyecare of bartlesville";2015-03-13;4000;"HACK";"MED";"US GA: State";2015
"4847";"acer service corporation";2016-06-14;35000;"HACK";"BSO";"US GA: State";2016
"4854";"the university of texas system administration";2016-01-21;794;"DISC";"MED";"US GA: State";2016
"4855";"louisiana healthcare connections";2016-02-02;13086;"PHYS";"MED";"US GA: State";2016
"4856";"rite aid new york";2016-02-03;976;"HACK";"MED";"US GA: State";2016
"4857";"seim johnson llp";2016-02-08;30972;"PORT";"MED";"US GA: State";2016
"4858";"blue cross blue shield of south carolina";2016-02-12;998;"DISC";"MED";"US GA: State";2016
"4862";"roark s pharmacy";2016-02-19;3000;"PHYS";"MED";"US GA: State";2016
"4863";"walgreen co";2016-03-04;880;"PHYS";"MED";"US GA: State";2016
"4864";"premier healthcare llc";2016-03-04;205748;"PORT";"MED";"Media";2016
"4865";"cardiology associates of jonesboro inc";2016-03-04;1669;"DISC";"MED";"US GA: State";2016
"4866";"walmart stores inc";2016-03-01;4800;"HACK";"MED";"US GA: State";2016
"4867";"group life hospital and medical program";2016-02-29;3000;"HACK";"MED";"US GA: State";2016
"4868";"mind springs health";2016-02-27;2147;"HACK";"MED";"US GA: State";2016
"4869";"the eye institute of corpus christi";2016-02-26;43961;"HACK";"MED";"US GA: State";2016
"4870";"freeport memorial hospital";2016-02-26;1349;"PORT";"MED";"US GA: State";2016
"4871";"ecolab health and welfare benefits plan";2016-02-26;1550;"HACK";"MED";"US GA: State";2016
"4872";"valley hope association";2016-02-26;52076;"PORT";"MED";"US GA: State";2016
"4873";"vancouver radiologists pc";2016-02-26;603;"DISC";"MED";"US GA: State";2016
"4874";"locust fork pharmacy";2016-02-26;5000;"DISC";"MED";"US GA: State";2016
"4875";"elliot j martin chiropractic pc";2016-02-26;1200;"HACK";"MED";"US GA: State";2016
"4876";"public health trust of miami dade county florida";2016-02-19;24188;"HACK";"MED";"US GA: State";2016
"4877";"illinois valley podiatry group";2016-03-08;26588;"HACK";"MED";"Media";2016
"4879";"uhhs geauga medical center";2016-03-10;677;"HACK";"MED";"US GA: State";2016
"4880";"vidant health";2016-03-10;897;"HACK";"MED";"US GA: State";2016
"4881";"karmanos cancer center";2016-03-10;2808;"PORT";"MED";"US GA: State";2016
"4882";"virtua medical group";2016-03-11;1654;"HACK";"MED";"US GA: State";2016
"4883";"vibrant body wellness";2016-03-11;726;"PORT";"MED";"US GA: State";2016
"4884";"jasacare";2016-03-14;1154;"HACK";"MED";"US GA: State";2016
"4885";"laborers fund administrative office of northern california inc";2016-03-15;2373;"DISC";"MED";"US GA: State";2016
"4886";"w christopher bryant dds pc";2016-03-17;2200;"PORT";"MED";"US GA: State";2016
"4887";"hospital fo special surgery";2016-03-17;647;"HACK";"MED";"US GA: State";2016
"4888";"lindsay house surgery center llc";2016-03-18;773;"PHYS";"MED";"US GA: State";2016
"4889";"val verde regional medical center";2016-03-18;2000;"HACK";"MED";"US GA: State";2016
"4890";"national counseling group";2016-03-21;23000;"HACK";"MED";"US GA: State";2016
"4891";"metropolitan jewish health system inc d b a mjhs";2016-03-22;2483;"HACK";"MED";"US GA: State";2016
"4892";"excel plus home health inc";2016-03-23;524;"PORT";"MED";"US GA: State";2016
"4893";"morton medical center";2016-03-24;3000;"HACK";"MED";"US GA: State";2016
"4894";"pointe medical services inc";2016-04-01;2000;"PORT";"MED";"US GA: State";2016
"4895";"einstein healthcare network";2016-04-01;2939;"DISC";"MED";"US GA: State";2016
"4896";"sisters of charity of leavenworth health system health benefits";2016-04-05;540;"DISC";"MED";"US GA: State";2016
"4897";"target corporation health plan";2016-04-05;719;"DISC";"MED";"US GA: State";2016
"4898";"pacific gas and electric";2016-04-05;2426;"DISC";"MED";"US GA: State";2016
"4899";"rma medical centers of florida";2016-04-07;3906;"PORT";"MED";"US GA: State";2016
"4900";"indian health service northern navajo medical center";2016-04-07;7421;"DISC";"MED";"US GA: State";2016
"4901";"mark anthony quintero m d llc";2016-04-12;650;"HACK";"MED";"US GA: State";2016
"4902";"sacred heart health system inc";2016-04-12;532;"DISC";"MED";"US GA: State";2016
"4903";"optumrx inc";2016-04-12;6229;"PORT";"MED";"US GA: State";2016
"4904";"united community famiy services";2016-04-12;1000;"HACK";"MED";"US GA: State";2016
"4905";"florida department of health";2016-04-13;1076;"DISC";"MED";"US GA: State";2016
"4906";"oneida tribe of indians of wisconsin";2016-04-15;2734;"PORT";"MED";"US GA: State";2016
"4907";"vail clinic inc dba vail valley medical center and dbs howard head sports medicine";2016-04-15;1506;"HACK";"MED";"US GA: State";2016
"4908";"florida hospital medical group";2016-04-18;1906;"HACK";"MED";"US GA: State";2016
"4909";"quarles brady llp";2016-04-19;1032;"PORT";"MED";"US GA: State";2016
"4910";"lake pulmonary critical care pa";2016-04-20;648;"PORT";"MED";"US GA: State";2016
"4911";"wyoming medical center";2016-04-20;3184;"HACK";"MED";"US GA: State";2016
"4912";"kaiser foundation health plan inc";2016-04-22;2451;"PHYS";"MED";"US GA: State";2016
"4913";"edwin shaw rehabilitation";2016-04-22;975;"PHYS";"MED";"US GA: State";2016
"4914";"ohio department of mental health and addiction services";2016-04-22;59000;"DISC";"MED";"US GA: State";2016
"4915";"mayfield clinic inc";2016-04-23;23341;"HACK";"MED";"US GA: State";2016
"4916";"family children s services of mid michigan";2016-04-27;981;"HACK";"MED";"US GA: State";2016
"4917";"pruitt home health";2016-04-29;1500;"DISC";"MED";"US GA: State";2016
"4918";"managed health services";2016-05-01;610;"DISC";"MED";"US GA: State";2016
"4919";"florida medical clinic";2016-05-04;1000;"DISC";"MED";"US GA: State";2016
"4920";"unitedhealthcare group single affiliated covered entity";2016-05-04;5330;"DISC";"MED";"US GA: State";2016
"4921";"lafayette pain care pc";2016-05-09;7500;"HACK";"MED";"US GA: State";2016
"4922";"unity point health";2016-05-11;1620;"DISC";"MED";"US GA: State";2016
"4923";"family medicine of weston";2016-05-11;500;"HACK";"MED";"US GA: State";2016
"4924";"medical colleagues of texas llp";2016-05-11;68631;"HACK";"MED";"Media";2016
"4925";"employee benefits division";2016-05-12;2602;"DISC";"MED";"US GA: State";2016
"4926";"northwest oncology hematology s c";2016-05-11;1625;"DISC";"MED";"US GA: State";2016
"4927";"northstar healthcare acquisitions llc";2016-04-28;19898;"PORT";"MED";"US GA: State";2016
"4928";"surgical care affiliates";2016-05-16;9009;"PORT";"MED";"US GA: State";2016
"4929";"san juan county new mexico";2016-05-17;12500;"HACK";"MED";"US GA: State";2016
"4930";"emergency room associates dba emergency medicine associates";2016-05-19;1067;"PHYS";"MED";"US GA: State";2016
"4931";"tallahassee memorial healthcare inc";2016-05-20;505;"HACK";"MED";"US GA: State";2016
"4932";"melanie witte counsel for berkeley endocrine clinic";2016-05-24;1370;"DISC";"MED";"US GA: State";2016
"4933";"walmart stores inc";2016-06-08;27393;"DISC";"MED";"US GA: State";2016
